A,X,A_filename,X_filename,position,A_fricDur,X_fricDur,A_aspDur,X_aspDur
134_so_2_75_20_138_so_2_word-initial,134_so_2_75_20_138_so_2_word-initial,134_so_2_75_20_138_so_2_word-initial.wav,134_so_2_75_20_138_so_2_word-initial.wav,word-initial,75,75,20,20
134_sso_2_75_20_138_so_2_word-initial,134_so_2_75_60_138_so_2_word-initial,134_sso_2_75_20_138_so_2_word-initial.wav,134_so_2_75_60_138_so_2_word-initial.wav,word-initial,75,75,20,60
134_so_2_75_20_138_sso_2_word-initial,134_so_2_125_20_138_so_2_word-initial,134_so_2_75_20_138_sso_2_word-initial.wav,134_so_2_125_20_138_so_2_word-initial.wav,word-initial,75,125,20,20
134_sso_2_75_20_138_sso_2_word-initial,134_so_2_125_60_138_so_2_word-initial,134_sso_2_75_20_138_sso_2_word-initial.wav,134_so_2_125_60_138_so_2_word-initial.wav,word-initial,75,125,20,60
134_so_2_75_60_138_so_2_word-initial,134_so_2_75_20_138_so_2_word-initial,134_so_2_75_60_138_so_2_word-initial.wav,134_so_2_75_20_138_so_2_word-initial.wav,word-initial,75,75,60,20
134_sso_2_75_60_138_so_2_word-initial,134_so_2_75_60_138_so_2_word-initial,134_sso_2_75_60_138_so_2_word-initial.wav,134_so_2_75_60_138_so_2_word-initial.wav,word-initial,75,75,60,60
134_so_2_75_60_138_sso_2_word-initial,134_so_2_125_20_138_so_2_word-initial,134_so_2_75_60_138_sso_2_word-initial.wav,134_so_2_125_20_138_so_2_word-initial.wav,word-initial,75,125,60,20
134_sso_2_75_60_138_sso_2_word-initial,134_so_2_125_60_138_so_2_word-initial,134_sso_2_75_60_138_sso_2_word-initial.wav,134_so_2_125_60_138_so_2_word-initial.wav,word-initial,75,125,60,60
134_so_2_125_20_138_so_2_word-initial,134_so_2_75_20_138_so_2_word-initial,134_so_2_125_20_138_so_2_word-initial.wav,134_so_2_75_20_138_so_2_word-initial.wav,word-initial,125,75,20,20
134_sso_2_125_20_138_so_2_word-initial,134_so_2_75_60_138_so_2_word-initial,134_sso_2_125_20_138_so_2_word-initial.wav,134_so_2_75_60_138_so_2_word-initial.wav,word-initial,125,75,20,60
